"TABLE_NAME","COLUMN_NAME","CONSTRAINT_NAME","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
"aplicacion_credito","id_credito","aplicacion_credito_ibfk_1","credito_cliente","id_credito"
"auditoria_pago","id_pago","auditoria_pago_ibfk_1","pago_registrado","id_pago"
"cliente","id_grupo","cliente_ibfk_1","grupo","id_grupo"
"compra","id_producto","compra_ibfk_1","producto","id_producto"
"credito_cliente","id_cliente","credito_cliente_ibfk_1","cliente","id_cliente"
"detalle_factura","id_factura","detalle_factura_ibfk_1","factura","id_factura"
"detalle_factura","id_producto","detalle_factura_ibfk_2","producto","id_producto"
"detalle_factura","id_seccion","detalle_factura_ibfk_3","seccion_factura","id_seccion"
"dispositivos_autorizados","id_usuario","dispositivos_autorizados_ibfk_1","usuarios_sistema","id_usuario"
"dispositivos_eventos","id_dispositivo","dispositivos_eventos_ibfk_1","dispositivos_autorizados","id_dispositivo"
"dispositivos_reciclaje","id_dispositivo","dispositivos_reciclaje_ibfk_1","dispositivos_autorizados","id_dispositivo"
"dispositivos_reciclaje","id_usuario","dispositivos_reciclaje_ibfk_2","usuarios_sistema","id_usuario"
"factura","id_cliente","factura_ibfk_1","cliente","id_cliente"
"factura_metadata","id_factura","factura_metadata_ibfk_1","factura","id_factura"
"grupo","id_tipo_cliente","grupo_ibfk_1","tipo_cliente","id_tipo_cliente"
"log_accesos","id_usuario","log_accesos_ibfk_1","usuarios_sistema","id_usuario"
"ordenes_guardadas","id_cliente","ordenes_guardadas_ibfk_1","cliente","id_cliente"
"ordenes_guardadas","usuario_creador","ordenes_guardadas_ibfk_2","usuarios_sistema","username"
"precio_por_grupo","id_grupo","precio_por_grupo_ibfk_1","grupo","id_grupo"
"precio_por_grupo","id_producto","precio_por_grupo_ibfk_2","producto","id_producto"
"producto_locks","id_producto","producto_locks_ibfk_1","producto","id_producto"
"seccion_factura","id_factura","seccion_factura_ibfk_1","factura","id_factura"
